"Department","Category","Subcategory","Item"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 26"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 28"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 30"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 32"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 34"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 40"
"Store Dept.","Uniform","Activity","BASKET BALL DRESS SIZE 42"
"","Uniform",,"BASKET BALL DRESS SIZE MEDIUM"
"Maintenance Dept.","Electrical","Battams","Battam Holder"
"Maintenance Dept.","Electrical","Battams","Battam Holder"
"Store Dept.","Maintenance","Battery","BATTERY (BIG)"
"Store Dept.","Accessories","General","BATTERY (RECHARGEABLE)"
"Store Dept.","Office Stationery","General","BATTERY (SMALL)"
"","Accessories",,"BEAD FRAME LARGE (FOR MONT)"
"","Gift",,"BEAR TOY"
"","Gift",,"BED SHEET"
"","Gift",,"BED SHEET (BOMBAY DYEING)"
"Store Dept.","Decoration","General","BELL MEDIUM (25TH DECEMBER)"
"Store Dept.","Printing & Stationary","Pins & Clips","BELL PINS (KING PINS)"
"Store Dept.","Decoration","General","BELL SMALL (25TH DECEMBER)"
"","Gift",,"BELT, KEY RING & WALLET SET"
"Maintenance Dept.","Electrical","General","Bend 20mm"
"Maintenance Dept.","Plumbing","Bib Cocks","BIB COCK (HEAD)"
"Maintenance Dept.","Plumbing","Bib Cocks","Bib Cock Piller"
"Maintenance Dept.","Plumbing","Bib Cocks","Bib cock piller"
"Store Dept.","Printing & Stationary","Files & Folders","BIG ARCH FILE"
"Store Dept.","Uniform","Activity","BIG BLACK  BAG"
"Store Dept.","Stationary","Saleable","BIG CHECK COPY (32 PAGES)"
"","Office Stationery",,"BIG CHECK COPY (32 PAGES)"
"Store Dept.","Stationary","Saleable","BIG CHECK COPY (NEW- 64 PAGES)"
"Store Dept.","Printing & Stationary","Files & Folders","BIG COVER FILE"
"Maintenance Dept.","House Keeping","Dustbins","BIG DUSTBIN"
"Store Dept.","Printing & Stationary","Office Stationeries","BIG ENVELOP"
"Store Dept.","Gift","General","BIG MOMENTO"
"Store Dept.","Stationary","Saleable","BIG PLAIN COPY (NEW- 64 PAGES)"
"Store Dept.","Stationary","Saleable","BIG PLAIN COPY (OLD- 96 PAGES)"
"Store Dept.","Printing & Stationary","Paper","BIG RED ART PAPER"
"Store Dept.","Stationary","Saleable","BIG SINGLE LINE COPY (NEW- 64 PAGES)"
"Maintenance Dept.","House Keeping","Towels","BIG TOWEL"
"","Gift",,"BIG TREY"
"Store Dept.","House Keeping","Umbrellas","BIG UMBRELLA"
"Store Dept.","House Keeping","Umbrellas","Big Umbrella"
"Store Dept.","Printing & Stationary","Paper","BIG WHITE PAPER (SIZE 50 X 75)"
"Store Dept.","Madhusthali","Madhusthali items","BINDED PRACTICAL COPY  FOR PARAMEDICAL (MV)"
"Store Dept.","Stationary","Saleable","BINDED PRACTICAL COPY (100pages)"
"Store Dept.","Stationary","Saleable","BINDED PRACTICAL COPY (160pages)"
"Store Dept.","Stationary","Saleable","BINDED PRACTICAL COPY OLD (D- 37)"
"Store Dept.","Printing & Stationary","Classrooms","BINDER"
"Store Dept.","Decoration","General","BINDI (BLACK)"
"Store Dept.","Decoration","General","BINDI (RED)"
"Store Dept.","Printing & Stationary","Office Stationeries","BIOGRAPHY OF S S SIR"
"Store Dept.","Card and Certificate","Birthdays","BIRTHDAY CARD"
"Store Dept.","Card and Certificate","Birthdays","BIRTHDAY GREETING (New)"
"Store Dept.","Card and Certificate","Birthdays","BIRTHDAY GREETING (Plain White)"
"Store Dept.","Food & Beverage","Staff welfare","BISCUITS"
"Store Dept.","Food & Beverage","Staff welfare","BISCUITS (SMALL)"
"Store Dept.","Dress & Cloth","Blankets","BLACK BLANKET"
"Store Dept.","Dress & Cloth","Caps","BLACK CAP"
"Store Dept.","Printing & Stationary","Files & Folders","BLACK FOLDER  (LEATHER - REBOK)"
"Store Dept.","Gift","General","BLACK LATHER FOLDER (PRESS)"
"Maintenance Dept.","House Keeping","Cleaning","BLACK PHYNILE"
"Maintenance Dept.","Electrical","Boxes","Blank"
"Maintenance Dept.","Electrical","Boxes","Blank"
"Store Dept.","House Keeping","Cleaning","BLEACHING POWDER"
"Store Dept.","Printing & Stationary","Colours","BLOCK PRINT ( COLOURS BLACK )"
"Store Dept.","Printing & Stationary","Classrooms","BLOCK PRINT ( COLOURS GREEN )"
"Store Dept.","Printing & Stationary","Colours","BLOCK PRINT ( WOODEN BLOCK)"
"Store Dept.","Printing & Stationary","Colours","BLOCK PRINT (CAMICAL)"
"Store Dept.","Printing & Stationary","Colours","BLOCK PRINT ADISIVE  (CAMICAL)"
"Store Dept.","Printing & Stationary","Classrooms","BLOCK PRINT CAMICAL (BINDER)"
"Store Dept.","Printing & Stationary","Colours","bLOCK PRINTE ( RED COLOUR)"
"","Decoration",,"BLOCK PRINTE BINDER"
"","Decoration",,"BLOCK PRINTE CAMICAL"
"","Decoration",,"BLOCK PRINTE COLOUR (BLACK)"
"","Decoration",,"BLOCK PRINTE COLOUR (GREEN)"
"","Decoration",,"BLOCK PRINTE COLOUR (RED)"
"","Decoration",,"BLOCK PRINTE WOODEN BLOCK (BIG)"
"","Decoration",,"BLOCK PRINTE WOODEN BLOCK (MEDIUM)"
"","Decoration",,"BLOCK PRINTE WOODEN BLOCK (SMALL)"
"Store Dept.","Printing & Stationary","Classrooms","BLOCK PRINTER CAMICAL  (FIXTURE)"
"Store Dept.","Accessories","General","BLUE BAG"
"","Office Stationery",,"BLUE BAG (MCKV)"
